file source,DatasetID,MicroplasticID,Scientist,Photo,Colour,SizeMM,Type,FTIR_Plastic,"FTIR_Plastic_Probability score >0,4",FTIR_Polymer,"FTIR_Polymer_Probability score >0,4",FTIR_Polymer_full,FTIR_Polymer_standardised,Match FTIR %,FTIR_MethodUsed,Info
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6270,086_6270_13,anna noichl; magdalena kraml,"win_20230217_14_06_24_pro,jpg",white,0.732,fragments,no,yes,na,pvc,polyvinyl chloride,polychlorinated polymer,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6297,086_6297_1,anna noichl; magdalena kraml,"win_20230217_10_00_40_pro,jpg",white,10.29,fragments,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6297,086_6297_2,anna noichl; magdalena kraml,"win_20230217_10_02_23_pro,jpg",white,9.812,fragments,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6297,086_6297_3,anna noichl; magdalena kraml,"win_20230217_10_05_39_pro,jpg",white,20.52,fragments,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6297,086_6297_4,anna noichl; magdalena kraml,"win_20230217_10_09_40_pro,jpg",white,9.366,filaments,no,yes,na,pet,polyethylene terephthalate,polyester,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6297,086_6297_5,anna noichl; magdalena kraml,"win_20230217_10_12_41_pro,jpg",brown,1.313,fragments,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6297,086_6297_6,anna noichl; magdalena kraml,"win_20230217_10_17_15_pro,jpg",white,0.841,films,no,yes,na,epdm,ethyleen-propyleen-dieen-monomeer,polyethylene,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6297,086_6297_7,anna noichl; magdalena kraml,"win_20230217_10_22_24_pro,jpg",brown,0.636,fragments,no,yes,na,epdm,ethyleen-propyleen-dieen-monomeer,polyethylene,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6297,086_6297_8,anna noichl; magdalena kraml,"win_20230217_10_26_36_pro,jpg",brown,0.36,fragments,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6297,086_6297_9,anna noichl; magdalena kraml,"win_20230217_10_29_29_pro,jpg",brown,0.302,fragments,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6297,086_6297_10,anna noichl; magdalena kraml,"win_20230223_10_09_08_pro,jpg",green,8.604,fragments,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6297,086_6297_11,anna noichl; magdalena kraml,"win_20230223_10_12_39_pro,jpg",white,5.921,fragments,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6297,086_6297_12,anna noichl; magdalena kraml,"win_20230223_10_17_36_pro,jpg",yellow,3.83,films,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6297,086_6297_13,anna noichl; magdalena kraml,"win_20230223_10_21_33_pro,jpg",white,3.107,fragments,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6297,086_6297_14,anna noichl; magdalena kraml,"win_20230223_10_25_42_pro,jpg",white,3.371,films,yes,yes,polyethylene,pe,polyethylene,polyethylene,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6297,086_6297_15,anna noichl; magdalena kraml,"win_20230223_10_29_10_pro,jpg",yellow,4.221,fragments,no,yes,na,abs,acrylonitrile butadiene styrene,acrylonitrile butadiene styrene,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6297,086_6297_16,anna noichl; magdalena kraml,"win_20230223_10_32_41_pro,jpg",white,3.016,fragments,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6297,086_6297_17,anna noichl; magdalena kraml,"win_20230223_10_36_55_pro,jpg",white,5.31,films,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6297,086_6297_18,anna noichl; magdalena kraml,"win_20230223_10_40_08_pro,jpg",yellow,2.814,films,no,yes,na,pe,polyethylene,polyethylene,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6297,086_6297_19,anna noichl; magdalena kraml,"win_20230223_10_42_57_pro,jpg",brown,2.442,films,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6297,086_6297_20,anna noichl; magdalena kraml,"win_20230223_10_47_30_pro,jpg",white,2.627,fragments,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6297,086_6297_21,anna noichl; magdalena kraml,"win_20230223_10_51_52_pro,jpg",white,4.09,fragments,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6297,086_6297_22,anna noichl; magdalena kraml,"win_20230223_11_11_36_pro,jpg",blue,3.161,fragments,yes,yes,polyethylene,pe,polyethylene,polyethylene,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6297,086_6297_23,anna noichl; magdalena kraml,"win_20230223_11_14_30_pro,jpg",white,2.19,fragments,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6297,086_6297_24,anna noichl; magdalena kraml,"win_20230223_11_18_19_pro,jpg",white,2.593,films,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6297,086_6297_25,anna noichl; magdalena kraml,"win_20230223_11_22_01_pro,jpg",white,3.297,fragments,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6297,086_6297_26,anna noichl; magdalena kraml,"win_20230223_11_25_33_pro,jpg",brown,2.126,films,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6297,086_6297_27,anna noichl; magdalena kraml,"win_20230223_11_30_03_pro,jpg",white,3.59,fragments,yes,yes,polyethylene,pe,polyethylene,polyethylene,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6297,086_6297_28,anna noichl; magdalena kraml,"win_20230223_11_33_39_pro,jpg",white,2.726,fragments,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6297,086_6297_29,anna noichl; magdalena kraml,"win_20230223_11_38_23_pro,jpg",yellow,4.509,fragments,no,yes,na,abs,acrylonitrile butadiene styrene,acrylonitrile butadiene styrene,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6297,086_6297_30,anna noichl; magdalena kraml,"win_20230223_11_41_43_pro,jpg",white,2.39,films,yes,yes,polyethylene,pe,polyethylene,polyethylene,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6297,086_6297_31,anna noichl; magdalena kraml,"win_20230223_11_46_49_pro,jpg",white,3.739,films,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6297,086_6297_32,anna noichl; magdalena kraml,"win_20230223_11_50_17_pro,jpg",yellow,2.112,fragments,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6297,086_6297_33,anna noichl; magdalena kraml,"win_20230223_11_57_20_pro,jpg",yellow,2.709,fragments,no,yes,na,abs,acrylonitrile butadiene styrene,acrylonitrile butadiene styrene,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6297,086_6297_34,anna noichl; magdalena kraml,"win_20230223_12_01_22_pro,jpg",white,1.855,films,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6297,086_6297_35,anna noichl; magdalena kraml,"win_20230223_12_11_30_pro,jpg",blue,2.633,fragments,yes,yes,polypropylene,pp,polypropylene,polypropylene,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6297,086_6297_36,anna noichl; magdalena kraml,"win_20230223_12_15_46_pro,jpg",white,3.419,films,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6297,086_6297_37,anna noichl; magdalena kraml,"win_20230223_12_20_30_pro,jpg",white,2.075,fragments,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6297,086_6297_38,anna noichl; magdalena kraml,"win_20230223_12_24_03_pro,jpg",red,1.884,films,no,yes,na,pp,polypropylene,polypropylene,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6297,086_6297_39,anna noichl; magdalena kraml,"win_20230223_12_28_21_pro,jpg",brown,10.319,filaments,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6297,086_6297_40,anna noichl; magdalena kraml,"win_20230223_12_32_04_pro,jpg",white,1.203,films,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6297,086_6297_41,anna noichl; magdalena kraml,"win_20230223_12_39_29_pro,jpg",yellow,1.504,fragments,no,yes,na,abs,acrylonitrile butadiene styrene,acrylonitrile butadiene styrene,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6297,086_6297_42,anna noichl; magdalena kraml,"win_20230223_12_41_20_pro,jpg",brown,1.521,films,no,yes,na,pe,polyethylene,polyethylene,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6297,086_6297_43,anna noichl; magdalena kraml,"win_20230223_12_45_34_pro,jpg",brown,3.919,filaments,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6297,086_6297_44,anna noichl; magdalena kraml,"win_20230223_12_49_56_pro,jpg",brown,1.409,filaments,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6297,086_6297_45,anna noichl; magdalena kraml,"win_20230223_12_53_03_pro,jpg",brown,4.223,films,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6297,086_6297_46,anna noichl; magdalena kraml,"win_20230223_13_03_36_pro,jpg",brown,5.629,filaments,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6297,086_6297_47,anna noichl; magdalena kraml,"win_20230223_13_08_14_pro,jpg",white,1.091,films,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6297,086_6297_48,anna noichl; magdalena kraml,"win_20230223_13_11_59_pro,jpg",brown,4.249,filaments,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6297,086_6297_49,anna noichl; magdalena kraml,"win_20230223_13_15_23_pro,jpg",grey,2.017,films,no,yes,na,ps,polystyrene,polystyrene,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6297,086_6297_50,anna noichl; magdalena kraml,"win_20230223_13_21_28_pro,jpg",white,2.326,fragments,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6297,086_6297_51,anna noichl; magdalena kraml,"win_20230223_13_23_33_pro,jpg",brown,1.107,fragments,no,yes,na,epdm,ethyleen-propyleen-dieen-monomeer,polyethylene,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6297,086_6297_52,anna noichl; magdalena kraml,"win_20230223_13_27_27_pro,jpg",brown,9.062,filaments,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6297,086_6297_53,anna noichl; magdalena kraml,"win_20230223_13_31_23_pro,jpg",red,5.196,filaments,no,yes,na,pp,polypropylene,polypropylene,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6297,086_6297_54,anna noichl; magdalena kraml,"win_20230223_13_35_04_pro,jpg",white,1.234,fragments,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6297,086_6297_55,anna noichl; magdalena kraml,"win_20230223_13_38_37_pro,jpg",brown,1.221,fragments,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6297,086_6297_56,anna noichl; magdalena kraml,"win_20230223_13_42_52_pro,jpg",white,0.876,films,yes,yes,polyethylene,pe,polyethylene,polyethylene,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6297,086_6297_57,anna noichl; magdalena kraml,"win_20230217_10_29_29_pro,jpg",white,16.645,filaments,no,yes,na,pe,polyethylene,polyethylene,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6372,086_6372_1,anna noichl; magdalena kraml,"win_20230224_09_47_14_pro,jpg",gold,1.879,films,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6372,086_6372_2,anna noichl; magdalena kraml,"win_20230224_09_49_33_pro,jpg",brown,3.183,films,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6372,086_6372_3,anna noichl; magdalena kraml,"win_20230224_09_53_04_pro,jpg",white,3.501,fragments,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6372,086_6372_4,anna noichl; magdalena kraml,"win_20230224_10_01_14_pro,jpg",brown,3.65,fragments,yes,yes,polyethylene,pe,polyethylene,polyethylene,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6372,086_6372_5,anna noichl; magdalena kraml,"win_20230224_10_04_31_pro,jpg",white,1.523,films,no,yes,na,pe,polyethylene,polyethylene,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6372,086_6372_6,anna noichl; magdalena kraml,"win_20230224_10_08_44_pro,jpg",green,22.14,filaments,no,yes,na,pet,polyethylene terephthalate,polyester,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6372,086_6372_7,anna noichl; magdalena kraml,"win_20230224_10_12_07_pro,jpg",grey,1.058,films,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6372,086_6372_8,anna noichl; magdalena kraml,"win_20230224_10_17_15_pro,jpg",grey,2.43,filaments,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6372,086_6372_9,anna noichl; magdalena kraml,"win_20230224_10_20_57_pro,jpg",grey,1.49,filaments,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6372,086_6372_10,anna noichl; magdalena kraml,"win_20230224_10_25_21_pro,jpg",white,3.033,fragments,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6372,086_6372_11,anna noichl; magdalena kraml,"win_20230224_10_28_57_pro,jpg",white,6.928,fragments,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6372,086_6372_12,anna noichl; magdalena kraml,"win_20230224_10_32_36_pro,jpg",grey,5.944,filaments,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6382,086_6382_1,anna noichl; magdalena kraml,"win_20230223_14_22_45_pro,jpg",black,1.603,fragments,no,yes,na,epdm,ethyleen-propyleen-dieen-monomeer,polyethylene,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6382,086_6382_2,anna noichl; magdalena kraml,"win_20230223_14_24_47_pro,jpg",yellow,1.62,films,no,yes,na,epdm,ethyleen-propyleen-dieen-monomeer,polyethylene,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6382,086_6382_3,anna noichl; magdalena kraml,"win_20230223_14_31_14_pro,jpg",white,2.095,fragments,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6382,086_6382_4,anna noichl; magdalena kraml,"win_20230223_14_33_07_pro,jpg",grey,3.608,fragments,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6382,086_6382_5,anna noichl; magdalena kraml,"win_20230223_14_36_38_pro,jpg",white,1.665,films,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6382,086_6382_6,anna noichl; magdalena kraml,"win_20230223_14_41_50_pro,jpg",white,2.189,filaments,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6382,086_6382_7,anna noichl; magdalena kraml,"win_20230223_14_45_38_pro,jpg",yellow,0.524,fragments,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6382,086_6382_8,anna noichl; magdalena kraml,"win_20230223_14_48_55_pro,jpg",yellow,0.468,films,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6414,086_6414_1,anna noichl; magdalena kraml,"win_20230223_15_02_51_pro,jpg",brown,2.553,fragments,no,yes,na,epdm,ethyleen-propyleen-dieen-monomeer,polyethylene,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6414,086_6414_2,anna noichl; magdalena kraml,"win_20230223_15_05_33_pro,jpg",white,6.497,fragments,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6414,086_6414_3,anna noichl; magdalena kraml,"win_20230223_15_08_15_pro,jpg",black,4.182,filaments,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6429,086_6429_1,anna noichl; magdalena kraml,"win_20230217_09_05_39_pro,jpg",grey,2.164,fragments,yes,yes,polyethylene,pe,polyethylene,polyethylene,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6429,086_6429_2,anna noichl; magdalena kraml,"win_20230217_09_08_15_pro,jpg",brown,1.759,films,yes,yes,polyethylene,pe,polyethylene,polyethylene,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6429,086_6429_3,anna noichl; magdalena kraml,"win_20230217_09_15_28_pro,jpg",yellow,1.426,films,no,yes,na,pe,polyethylene,polyethylene,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6429,086_6429_4,anna noichl; magdalena kraml,"win_20230217_09_22_46_pro,jpg",white,0.93,fragments,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6429,086_6429_5,anna noichl; magdalena kraml,"win_20230217_09_30_26_pro,jpg",na,0.827,na,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6429,086_6429_6,anna noichl; magdalena kraml,"win_20230217_09_37_07_pro,jpg",na,1.914,na,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6439,086_6439_1,anna noichl; magdalena kraml,"win_20230217_11_00_25_pro,jpg",yellow,3.415,fragments,yes,yes,polyethylene,pe,polyethylene,polyethylene,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6439,086_6439_2,anna noichl; magdalena kraml,"win_20230217_11_01_34_pro,jpg",green,2.996,fragments,yes,yes,polyethylene,pe,polyethylene,polyethylene,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6439,086_6439_3,anna noichl; magdalena kraml,"win_20230217_11_04_51_pro,jpg",yellow,2.341,fragments,no,yes,na,ps,polystyrene,polystyrene,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6439,086_6439_4,anna noichl; magdalena kraml,"win_20230217_11_08_19_pro,jpg",red,1.963,fragments,yes,yes,polypropylene,pp,polypropylene,polypropylene,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6439,086_6439_5,anna noichl; magdalena kraml,"win_20230217_11_11_28_pro,jpg",green,2.908,fragments,yes,yes,polyethylene,pe,polyethylene,polyethylene,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6439,086_6439_6,anna noichl; magdalena kraml,"win_20230217_11_14_54_pro,jpg",white,2.732,films,yes,yes,polyethylene,pe,polyethylene,polyethylene,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6448,086_6448_1,anna noichl; magdalena kraml,"win_20230217_14_18_46_pro,jpg",yellow,6.208,fragments,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
austria_verified_data_plasticpirates_autumn2022.xlsx,at_6448,086_6448_2,anna noichl; magdalena kraml,"win_20230217_14_21_22_pro,jpg",brown,12.95,filaments,no,na,na,na,na,undefined non-plastic,na,ParticleAnalysisProtocol_Austria,na
